10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgspain~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-1476de5c9d2efad4-32x26.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgmexico~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-95185f5a1b6497d6-32x26.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgfinland~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-f5fa7f9677eeb520-32x25.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlggreece~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-72a720373f0549b1-32x26.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgtaiwan~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-9ead50b9ab76f72b-32x26.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlggermany~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-00c5dddcb7e5414a-32x27.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgzerg~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-abbcde5d796289a3-31x32.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgmarine~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-9a4dda4e04d05bbd-28x32.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgaxslface~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-78dbc7a628ff93ab-23x32.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: pbatLordLucy~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-493b37aac1e9154a-28x28.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: geekAdGod~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3814c8747b07ced5-35x30.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: phantomSpinthat~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-97cab464167ba063-56x28.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BALA~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-2a1bf3106d443e9c-21x30.png
10:39:11.312 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Tatsunical~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-474f4d3fabada8c2-30x30.png
